key;ID;speciesStrain;speciesStrainComp;genus;genusComp;species;speciesComp;strain;cultureNo;typeStrain;misclassified;gram;oxygen;substrate;genomeAccNo;usedAccNo;ncbiFTP_FAA
3055;;Sulfurivirga caldicuralii MM1;sulfurivirgacaldicuraliimm1;Sulfurivirga;sulfurivirga;Sulfurivirga caldicuralii;sulfurivirgacaldicuralii;MM1;;;;negative;microaerophilic;;GCA_900141795|364032.7|GCA_015661715|364032.3;GCA_900141795;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/141/795/GCA_900141795.1_IMG-taxon_2695421043_annotated_assembly/GCA_900141795.1_IMG-taxon_2695421043_annotated_assembly_protein.faa.gz
3056;132576;Sulfurovum riftiae 1812E;sulfurovumriftiae1812e;Sulfurovum;sulfurovum;Sulfurovum riftiae;sulfurovumriftiae;1812E;DSM 101780|JCM 30810;yes;;;anaerobic;elemental sulfur|nitrate|thiosulfate;GCA_001595645|1630136.4|LNKT00000000;GCA_001595645;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/645/GCA_001595645.1_ASM159564v1/GCA_001595645.1_ASM159564v1_protein.faa.gz
3057;;SulÂ¥Ã¥Âtobacter litoralis Iso 3T;sulÂ¥Ã¥Âtobacterlitoralisiso3t;Sulâ¥Ã¥ÂTobacter;sulâ¥ã¥âtobacter;SulÂ¥Ã¥Âtobacter litoralis;sulâ¥ã¥âtobacterlitoralis;Iso 3T;;;;negative;aerobic;adipate|malate|mannitol;GCA_009696485|2606628.3;GCA_009696485;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/696/485/GCA_009696485.1_ASM969648v1/GCA_009696485.1_ASM969648v1_protein.faa.gz
3058;158440;Sutterella megalosphaeroides 6FBBBH3;sutterellamegalosphaeroides6fbbbh3;Sutterella;sutterella;Sutterella megalosphaeroides;sutterellamegalosphaeroides;6FBBBH3;DSM 106861|JCM 32470;yes;;;obligate anaerobic;esculin|gelatin|mannose|nitrate|raffinose;GCA_003609995|GCA_019415135|2259134.3|2494234.5|2833028006|AP018786;GCA_003609995;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/995/GCA_003609995.1_ASM360999v1/GCA_003609995.1_ASM360999v1_protein.faa.gz
3059;17827;Sutterella wadsworthensis DSM 14016;sutterellawadsworthensisdsm14016;Sutterella;sutterella;Sutterella wadsworthensis;sutterellawadsworthensis;DSM 14016;DSM 14016|ATCC 51579|CIP 104799|KCTC 15691|CCUG 42229|WAL 9799|JCM 32440;yes;;;anaerobic;cellobiose|D-glucose|D-mannitol|D-mannose|D-xylose|esculin|gelatin|glycerol|lactose|L-arabinose|L-glutamate|L-rhamnose|maltose|melezitose|nitrate|raffinose|salicin|sorbitol|sucrose|trehalose|tryptophan|urea;GCA_016724805|GCA_003315195|GCA_011320245|GCA_011320335|GCA_011320595|GCA_011320385|GCA_011320435|GCA_011320525|GCA_011320475|GCA_011320425|GCA_011320625|GCA_011320505|GCA_011320555|GCA_011320415|GCA_011320325|GCA_011320565|GCA_011320375|GCA_011320285|GCA_011320615|GCA_020559615|GCA_902374255|GCA_018783885|GCA_011320145|GCA_018367185|GCA_011320265|GCA_011320495;GCA_016724805;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/724/805/GCA_016724805.1_ASM1672480v1/GCA_016724805.1_ASM1672480v1_protein.faa.gz
3060;2238;Suttonella ornithocola B6/99/2;suttonellaornithocolab6992;Suttonella;suttonella;Suttonella ornithocola;suttonellaornithocola;B6/99/2;CCUG 47400|DSM 18249|CCUG 49457|CIP 108998|NCTC 13337;yes;;;microaerophilic;fructose|glucose|mannose|sucrose|trehalose;GCA_900460265|GCA_001889065|279832.3|279832.4|2831467990;GCA_900460265;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/460/265/GCA_900460265.1_50618_C01/GCA_900460265.1_50618_C01_protein.faa.gz
3061;140520;Taibaiella soli T1-10;taibaiellasolit110;Taibaiella;taibaiella;Taibaiella soli;taibaiellasoli;T1-10;JCM 31014|KCTC 42277;yes;;;obligate aerobic;adipate|beta-d-glucose|carboxymethylcellulose|casein|decanoate|D-mannitol|D-mannose|esculin|gelatin|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|phenylacetate|potassium gluconate|sodium citrate|starch|tween 80;1649169.4|2831720845|GCA_003236175;GCA_003236175;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/236/175/GCA_003236175.1_ASM323617v1/GCA_003236175.1_ASM323617v1_protein.faa.gz
3062;;Tamlana agarivorans JW-26;tamlanaagarivoransjw26;Tamlana;tamlana;Tamlana agarivorans;tamlanaagarivorans;JW-26;;;;negative;aerobic;;GCA_000943565;GCA_000943565;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/943/565/GCA_000943565.1_ASM94356v1/GCA_000943565.1_ASM94356v1_protein.faa.gz
3063;166479;Tamlana carrageenivorans UJ94;tamlanacarrageenivoransuj94;Tamlana;tamlana;Tamlana carrageenivorans;tamlanacarrageenivorans;UJ94;KCTC 62451|NBRC 113234;yes;;;aerobic;2-oxogluconate|4-nitrophenyl beta-D-galactopyranoside|adipate|agar|alginate|amygdalin|arbutin|carrageenan|cellobiose|citrate|D-arabinose|D-arabitol|decanoate|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|dna|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-tyrosine|L-xylose|malate|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|nitrate|phenylacetate|potassium 2-dehydro-D-gluconate|potassium 5-dehydro-D-gluconate|potassium gluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|tween 20|tween 80|xylitol;GCA_002893765|2788500294|2069432.3|CP025938;GCA_002893765;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/893/765/GCA_002893765.1_ASM289376v1/GCA_002893765.1_ASM289376v1_protein.faa.gz
3064;134226;Tamlana crocina HST1-43T, HST1-43;tamlanacrocinahst143thst143;Tamlana;tamlana;Tamlana crocina;tamlanacrocina;HST1-43T, HST1-43;KCTC 12721|JCM 14021;yes;;;aerobic;2,3-butanediol|2-dehydro-D-gluconate|2-oxopentanoate|3-hydroxybutyrate|4-hydroxy-L-proline|acetate|alanine|cellobiose|citrate|dextrin|DL-carnitine|esculin|fructose|fucose|galactose|glucosamine|glucose|glucuronamide|glutamate|glycine|glycogen|histidine|inosine|itaconate|lactate|lactose|L-alaninamide|L-arabitol|maltose|mannitol|mannose|melibiose|methyl D-glucoside|methyl pyruvate|nitrate|ornithine|phenylethylamine|proline|putrescine|quinate|raffinose|rhamnose|ribitol|sorbitol|sucrose|threonine|thymidine|trehalose|tween 40|uridine|urocanic acid|xylitol;GCA_012037625|393006.3;GCA_012037625;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/037/625/GCA_012037625.1_ASM1203762v1/GCA_012037625.1_ASM1203762v1_protein.faa.gz
3065;5177;Tatumella citrea FERM P-5449, BD 875;tatumellacitreafermp5449bd875;Tatumella;tatumella;Tatumella citrea;tatumellacitrea;FERM P-5449, BD 875;DSM 13699|ATCC 31623|CCUG 30156|CIP 105599|JCM 8882|LMG 22049|SHS 2003|CCM 4319|FERM P-5449|KCTC 12451|KCTC 2805|NCPPB 3826;yes;;;aerobic;arginine|cellobiose|D-arabitol|D-galacturonic acid|D-glucose|D-mannitol|L-arabinose|L-arabitol|L-rhamnose|lysine|malonate|maltose|myo-inositol|ornithine|palatinose|Potassium 5-ketogluconate|ribitol|sorbitol|sucrose|trehalose|tryptophan|urea;GCA_002163585|GCA_002163605|53336.8|53336.1|53336.7|2757320934|53336.11|2757320935|53336.12|CP015579;GCA_002163585;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/585/GCA_002163585.1_ASM216358v1/GCA_002163585.1_ASM216358v1_protein.faa.gz
3066;5180;Tatumella morbirosei BD878, CMC6;tatumellamorbiroseibd878cmc6;Tatumella;tatumella;Tatumella morbirosei;tatumellamorbirosei;BD878, CMC6;DSM 23827|LMG 23360|NCPPB 4036;yes;;;facultative;5-dehydro-D-gluconate|arabinose|asparagine|aspartate|citrate|dextrin|formate|fructose|galactose|gluconate|glucose|malate|maltose|mannitol|mannose|methyl pyruvate|N-acetylglucosamine|nitrate|ribitol|succinate|trehalose;GCA_000757425|642227.3|642227.4|642227.5|2636416092;GCA_000757425;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/425/GCA_000757425.2_Tmorbiroseiassem5/GCA_000757425.2_Tmorbiroseiassem5_protein.faa.gz
3067;366;Taylorella equigenitalis DSM 10668;taylorellaequigenitalisdsm10668;Taylorella;taylorella;Taylorella equigenitalis;taylorellaequigenitalis;DSM 10668;DSM 10668|ATCC 35865|CIP 7909|NCTC 11184|CCUG 10786|LMG 6222;yes;;;microaerophilic;D-fructose|maltose|ornithine|sucrose|tryptophan|urea;GCA_900637125|GCA_000276685|2517093031|743973.8|743973.6|743973.3;GCA_900637125;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/125/GCA_900637125.1_48853_G02/GCA_900637125.1_48853_G02_protein.faa.gz
3068;14015;Telmatospirillum siberiense 26-4b1;telmatospirillumsiberiense264b1;Telmatospirillum;telmatospirillum;Telmatospirillum siberiense;telmatospirillumsiberiense;26-4b1;DSM 18240|ATCC BAA 1305|KACC 11899;yes;;;microaerophilic;amygdalin|arginine|citrate|D-glucose|D-mannitol|gelatin|L-arabinose|L-rhamnose|lysine|melibiose|myo-inositol|ornithine|sorbitol|sucrose|tryptophan|urea;GCA_002845745|382514.6|2887065130;GCA_002845745;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/845/745/GCA_002845745.1_ASM284574v1/GCA_002845745.1_ASM284574v1_protein.faa.gz
3069;;Tenacibaculum adriaticum B390;tenacibaculumadriaticumb390;Tenacibaculum;tenacibaculum;Tenacibaculum adriaticum;tenacibaculumadriaticum;B390;;;;negative;;acetate|alpha-cyclodextrin|aspartate|cellobiose|dextrin|esculin|glutamate|glutamicAcid|glycogen|lactate|maltose|ornithine|proline|succinate|tween 40|Tween40;GCA_008124875|2756170228|VNIA00000000|413713.3;GCA_008124875;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/124/875/GCA_008124875.1_ASM812487v1/GCA_008124875.1_ASM812487v1_protein.faa.gz
3070;5655;Tenacibaculum discolor LL04 11.1.1, LL04.11.1.1;tenacibaculumdiscolorll041111ll041111;Tenacibaculum;tenacibaculum;Tenacibaculum discolor;tenacibaculumdiscolor;LL04 11.1.1, LL04.11.1.1;DSM 18842|NCIMB 14278;yes;;;aerobic;glutamate|nitrate|proline;GCA_003664185|361581.3|GCA_003852675|2734482798|361581.4;GCA_003664185;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/664/185/GCA_003664185.1_ASM366418v1/GCA_003664185.1_ASM366418v1_protein.faa.gz
3071;;Tenacibaculum gallaicum A37.1;tenacibaculumgallaicuma371;Tenacibaculum;tenacibaculum;Tenacibaculum gallaicum;tenacibaculumgallaicum;A37.1;;;;negative;aerobic;glutamate|glutamicAcid|nitrate|proline;GCA_003387615|2756170236|561505.3;GCA_003387615;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/387/615/GCA_003387615.1_ASM338761v1/GCA_003387615.1_ASM338761v1_protein.faa.gz
3072;134170;Tenacibaculum litoreum CL-TF13;tenacibaculumlitoreumcltf13;Tenacibaculum;tenacibaculum;Tenacibaculum litoreum;tenacibaculumlitoreum;CL-TF13;KCCM 42115|JCM 13039;yes;;;aerobic;arginine|nitrate|ornithine|proline;2854003032|321269.3|GCA_003937815;GCA_003937815;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/937/815/GCA_003937815.1_ASM393781v1/GCA_003937815.1_ASM393781v1_protein.faa.gz
3073;5651;Tenacibaculum maritimum R-2;tenacibaculummaritimumr2;Tenacibaculum;tenacibaculum;Tenacibaculum maritimum;tenacibaculummaritimum;R-2;DSM 17995|ATCC 43398|IAM 14317|IFO 15946|NBRC 15946|NCIMB 2154|CCUG 35198|LMG 11612;yes;;;aerobic;2-oxoglutarate|acetate|agar|benzoate|casamino acids|casein|cellulose|citrate|dna|esculin|ethanol|fumarate|gelatin|glycerol|L-leucine|L-tartrate|malate|methanol|nitrate|propionate|pyruvate|starch|succinate|tryptone|tween 80|tyrosine;GCA_900119795|GCA_004803875|GCA_000509405|GCA_902705305|GCA_902705375|GCA_902705555|GCA_902705275|GCA_902705415|GCA_902705265|GCA_902705385|GCA_902705285|GCA_902705495|GCA_902705445|GCA_902705365|GCA_902705435|GCA_902705355|GCA_902705395|GCA_902705565|GCA_902705345|GCA_902705515|GCA_902705465|GCA_902705535|GCA_902705525|GCA_902705315|1349785.3|107401.26;GCA_900119795;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/119/795/GCA_900119795.1_MARIT_PRJEB17743/GCA_900119795.1_MARIT_PRJEB17743_protein.faa.gz
3074;166323;Tenacibaculum singaporense TLL-A2;tenacibaculumsingaporensetlla2;Tenacibaculum;tenacibaculum;Tenacibaculum singaporense;tenacibaculumsingaporense;TLL-A2;DSM 106434|KCTC 62393;yes;;;aerobic;adipate|D-gluconate|D-mannitol|D-mannose|gelatin|hexanoate|L-arabinose|malate|maltose|N-acetyl-D-glucosamine|nitrate|phenylacetate|sodium citrate|tryptophan;GCA_003867015|2358479.3|CP032548.1|2843717175;GCA_003867015;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/867/015/GCA_003867015.1_ASM386701v1/GCA_003867015.1_ASM386701v1_protein.faa.gz
3075;158792;Tenacibaculum todarodis LPB0136;tenacibaculumtodarodislpb0136;Tenacibaculum;tenacibaculum;Tenacibaculum todarodis;tenacibaculumtodarodis;LPB0136;KACC 18887|JCM 31564;yes;;;aerobic;adipate|carboxymethylcellulose|casein|chitin|citrate|decanoate|D-glucose|D-mannitol|D-mannose|dna|gelatin|gluconate|glucose|hypoxanthine|L-arabinose|L-tyrosine|malate|maltose|N-acetylglucosamine|nitrate|phenylacetate|sodium alginate|starch|tween 20|tween 40|tween 60|tween 80|xanthine;GCA_001889045|2728369366|1850252.3|CP018155;GCA_001889045;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/045/GCA_001889045.1_ASM188904v1/GCA_001889045.1_ASM188904v1_protein.faa.gz
3076;166542;Tengunoibacter tsumagoiensis Uno3;tengunoibactertsumagoiensisuno3;Tengunoibacter;tengunoibacter;Tengunoibacter tsumagoiensis;tengunoibactertsumagoiensis;Uno3;NBRC 113152|LMG 30471|BCRC 81113;yes;;;aerobic;arabinose|carboxymethylcellulose|casein|cellulose|fructose|gelatin|glucose|mannitol|rhamnose|sodium chloride|starch|sucrose|xylan|xylose;2014871.3|GCA_003967535|BIFR01000001|BIFR01000002|2848419202;GCA_003967535;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/967/535/GCA_003967535.1_ASM396753v1/GCA_003967535.1_ASM396753v1_protein.faa.gz
3077;134095;Tenuibacillus multivorans 44589;tenuibacillusmultivorans44589;Tenuibacillus;tenuibacillus;Tenuibacillus multivorans;tenuibacillusmultivorans;44589;AS 1.3442|NBRC 100370;yes;;;aerobic;arabinose|cellobiose|esculin|fructose|galactose|glucose|glycerol|lactose|maltose|mannitol|mannose|melibiose|raffinose|rhamnose|sucrose|trehalose|xylose;GCA_007989445|GCA_900103915|237069.4|237069.5|2675903005;GCA_007989445;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/989/445/GCA_007989445.1_ASM798944v1/GCA_007989445.1_ASM798944v1_protein.faa.gz
3078;1209989;Tepidanaerobacter acetatoxydans Re1;tepidanaerobacteracetatoxydansre1;Tepidanaerobacter;tepidanaerobacter;Tepidanaerobacter acetatoxydans;tepidanaerobacteracetatoxydans;Re1;;;;positive;anaerobic;;GCA_012719935|GCA_018433115;GCA_012719935;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/719/935/GCA_012719935.1_ASM1271993v1/GCA_012719935.1_ASM1271993v1_protein.faa.gz
3079;132643;Tepidibacillus decaturensis Z9;tepidibacillusdecaturensisz9;Tepidibacillus;tepidibacillus;Tepidibacillus decaturensis;tepidibacillusdecaturensis;Z9;DSM 103037|ATCC BAA 2644|JCM 31418;yes;;;microaerophilic;betaine|elemental sulfur|ferric citrate|ferrihydrite|fructose|galactose|glucosamine|glucose|glycerol|glycine|lactose|maltose|mannitol|mannose|nitrate|nitrite|peptone|starch|sucrose|sulfate|thiosulfate|trehalose|trimethylamine;GCA_001561915|1413211.6|1413211.4|GCA_016841555|LSKU00000000|2675903671;GCA_001561915;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/561/915/GCA_001561915.1_ASM156191v1/GCA_001561915.1_ASM156191v1_protein.faa.gz
3080;11851;Tepidibacter formicigenes DV 1184;tepidibacterformicigenesdv1184;Tepidibacter;tepidibacter;Tepidibacter formicigenes;tepidibacterformicigenes;DV 1184;DSM 15518|CIP 107893;yes;;;anaerobic;acetate|cellobiose|ethanol|galactose|glucose|mannose|rhamnose|sucrose|trehalose|xylose;1123349.3|GCA_900142235|2585428175;GCA_900142235;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/142/235/GCA_900142235.1_IMG-taxon_2585428175_annotated_assembly/GCA_900142235.1_IMG-taxon_2585428175_annotated_assembly_protein.faa.gz
3081;;Tepidicella xavieri;tepidicellaxavieri;Tepidicella;tepidicella;Tepidicella xavieri;tepidicellaxavieri;;LMG 23030|DSM 19605;yes;;;aerobic;aspartate|citrate|D-tryptophan|esculin|histidine|leucine|malate|phenylalanine|serine;360241.4|GCA_004363315|2770939514;GCA_004363315;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/363/315/GCA_004363315.1_ASM436331v1/GCA_004363315.1_ASM436331v1_protein.faa.gz
3082;2515;Tepidimicrobium xylanilyticum PML14;tepidimicrobiumxylanilyticumpml14;Tepidimicrobium;tepidimicrobium;Tepidimicrobium xylanilyticum;tepidimicrobiumxylanilyticum;PML14;DSM 23310|CGMCC 1.5080|JCM 15035;yes;;;anaerobic;cellobiose|glucose|glycine|pyruvate|serine|threonine|xylose;GCA_900106765|2599185171|FNNG00000000|1123352.3;GCA_900106765;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/106/765/GCA_900106765.1_IMG-taxon_2599185171_annotated_assembly/GCA_900106765.1_IMG-taxon_2599185171_annotated_assembly_protein.faa.gz
3083;;Tepidimonas fonticaldi AT-A2;tepidimonasfonticaldiata2;Tepidimonas;tepidimonas;Tepidimonas fonticaldi;tepidimonasfonticaldi;AT-A2;;;;negative;aerobic;acetate|arginine|glutamate|glutamicAcid|glycerol|histidine|lactate|leucine|nitrate|ornithine|proline|pyruvate|succinate|tween 40|tween 60|tween 80|Tween40|Tween60|Tween80;GCA_007556755|GCA_001675355|1101373.18|1101373.17;GCA_007556755;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/556/755/GCA_007556755.1_ASM755675v1/GCA_007556755.1_ASM755675v1_protein.faa.gz
3084;166324;Tepidiphilus baoligensis B18-69;tepidiphilusbaoligensisb1869;Tepidiphilus;tepidiphilus;Tepidiphilus baoligensis;tepidiphilusbaoligensis;B18-69;CGMCC 1.13573|KCTC 62782;yes;;;aerobic;acetate|adipate|alanine|asparagine|aspartate|benzoate|butyrate|carboxymethylcellulose|casein|citrate|dna|esculin|ethanol|gelatin|glutamate|glutamine|glycerol|hexanoate|lactate|leucine|malate|malonate|nitrate|nitrite|phenylacetate|proline|propionate|pyruvate|serine|starch|succinate|sulfate|thiosulfate|tween 20|tween 40|tween 60|tween 80|xylan;2698687.3|GCA_012911495|JAAAUB000000000;GCA_012911495;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/911/495/GCA_012911495.1_ASM1291149v1/GCA_012911495.1_ASM1291149v1_protein.faa.gz
3085;140870;Terasakiella brassicae B3;terasakiellabrassicaeb3;Terasakiella;terasakiella;Terasakiella brassicae;terasakiellabrassicae;B3;KCTC 42652|CGMCC 1.15254;yes;;;aerobic;acetate|alginate|arabinose|butyrate|carboxymethylcellulose|casein|cellobiose|citrate|esculin|formate|fructose|galactose|gelatin|gluconate|glucose|glycerol|lactate|lactose|malate|maltose|mannose|nitrate|nitrite|oxalate|propionate|pyruvate|rhamnose|starch|succinate|sucrose|tartrate|trehalose|tween 40|tween 80|tyrosine|urea|xylose;GCA_014641495|1634917.3;GCA_014641495;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/641/495/GCA_014641495.1_ASM1464149v1/GCA_014641495.1_ASM1464149v1_protein.faa.gz
3086;6288;Terrabacter aerolatus 5516J-36;terrabacteraerolatus5516j36;Terrabacter;terrabacter;Terrabacter aerolatus;terrabacteraerolatus;5516J-36;DSM 18562|CIP 109801|KACC 20556|JCM 16379|KCTC 39580|NBRC 106305;yes;;;aerobic;3-hydroxybutyrate|acetate|adipate|alanine|glucose|glycogen|histidine|malonate|maltose|mannitol|mannose|nitrate|propionate|sucrose|valerate;422442.3|GCA_007991735;GCA_007991735;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/991/735/GCA_007991735.1_ASM799173v1/GCA_007991735.1_ASM799173v1_protein.faa.gz
3087;1517;Terribacillus goriensis CL-GR16;terribacillusgoriensisclgr16;Terribacillus;terribacillus;Terribacillus goriensis;terribacillusgoriensis;CL-GR16;DSM 18252|KCCM 42329;yes;;;aerobic;cellobiose|citrate|esculin|fructose|galactose|glucose|lactose|mannitol|mannose|melibiose|N-acetylglucosamine|pyruvate|rhamnose|salicin|sucrose|trehalose|tween 40|tween 60|tween 80|xylose;GCA_000725365|386490.3|GCA_002884435;GCA_000725365;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/365/GCA_000725365.1_ASM72536v1/GCA_000725365.1_ASM72536v1_protein.faa.gz
3088;1518;Terribacillus halophilus 002-051;terribacillushalophilus002051;Terribacillus;terribacillus;Terribacillus halophilus;terribacillushalophilus;002-051;DSM 21620|IAM 15310|JCM 21760|KCTC 13937|CGMCC 1.7684;yes;;;aerobic;arabinose|cellobiose|fructose|glucose|glycerol|lactose|mannitol|mannose|N-acetylglucosamine|rhamnose|salicin|sucrose;GCA_900101385|GCA_900162685|361279.6|361279.4|2675903149|2833362557|FMZB00000000;GCA_900101385;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/385/GCA_900101385.1_IMG-taxon_2675903149_annotated_assembly/GCA_900101385.1_IMG-taxon_2675903149_annotated_assembly_protein.faa.gz
3089;1519;Terribacillus saccharophilus 002-048;terribacillussaccharophilus002048;Terribacillus;terribacillus;Terribacillus saccharophilus;terribacillussaccharophilus;002-048;DSM 21619|IAM 15309|JCM 21759|KCTC 13936|CGMCC 1.7685;yes;;;aerobic;cellobiose|fructose|galactose|glucose|glycerol|lactose|mannitol|mannose|melibiose|N-acetylglucosamine|raffinose|rhamnose|salicin|sucrose|trehalose;GCA_002271915|GCA_002272745|GCA_002272685|GCA_002271615|GCA_002272075|GCA_002272065|GCA_002272675|GCA_002272165|GCA_002272735|361277.13|361277.12|361277.9|361277.8|361277.11|361277.7;GCA_002271915;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/271/915/GCA_002271915.1_assembly-7521_v1/GCA_002271915.1_assembly-7521_v1_protein.faa.gz
3090;;Terriglobus roseus;terriglobusroseus;Terriglobus;terriglobus;Terriglobus roseus;terriglobusroseus;;;;;negative;;2-dehydro-D-gluconate|5-dehydro-D-gluconate|acetate|adipate|alginate|alkalinePhosphatase|amygdalin|arbutin|arginine|cellobiose|cellulose|chitin|chitosan|citrate|D-alanine|D-arabitol|decanoate|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|formate|galactitol|gelatin|gentiobiose|gluconate|glucose|glycerol|glycine|glycogen|Î²-glucosidase|inulin|lactose|L-alanine|laminarin|L-arabinose|L-arabitol|L-fucose|lichenin|L-leucine|L-ornithine|L-rhamnose|L-sorbose|malate|maltose|mannitol|melezitose|melibiose|methyl alpha-D-mannoside|methyl D-glucoside|myo-inositol|N-acetylglucosamine|nitrate|pectin|pullulan|raffinose|ribitol|sodium L-glutamate|starch|sucrose|trehalose|tryptophan|turanose|urea|xylitol;GCA_000265425|GCA_900102185|GCA_900105625|GCA_015069745|392734.1|392734.12|392734.4|2690315679|2510461070|2690315654|926566.3;GCA_000265425;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/425/GCA_000265425.1_ASM26542v1/GCA_000265425.1_ASM26542v1_protein.faa.gz
3091;;Tersicoccus phoenicis 1P05MA;tersicoccusphoenicis1p05ma;Tersicoccus;tersicoccus;Tersicoccus phoenicis;tersicoccusphoenicis;1P05MA;;;;positive;aerobic;dextrin|fructose|gluconate|gluconicAcid|glucose|glycerol|lactate|maltose|mannitol|mannose|methyl pyruvate|nitrate|pyruvate|pyruvicAcidMethylEster|raffinose|ribose|sorbitol|trehalose|tween 40|tween 80|Tween40|Tween80|uridine|xylose;GCA_001968835|MRDE00000000|2788500076|554083.4;GCA_001968835;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/968/835/GCA_001968835.1_ASM196883v1/GCA_001968835.1_ASM196883v1_protein.faa.gz
3092;133304;Tersicoccus solisilvae 36A;tersicoccussolisilvae36a;Tersicoccus;tersicoccus;Tersicoccus solisilvae;tersicoccussolisilvae;36A;KCTC 33776|CGMCC 1.15480;yes;;;aerobic;ammonium chloride|arabinose|aspartate|galactose|glucose|glutamate|glycine|inulin|lactose|maltose|mannitol|mannose|melibiose|myo-inositol|nitrate|nitrite|raffinose|rhamnose|salicin|sodium chloride|sorbitol|sucrose|trehalose|tyrosine|urea|xylose;GCA_014643255|1882339.3;GCA_014643255;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/643/255/GCA_014643255.1_ASM1464325v1/GCA_014643255.1_ASM1464325v1_protein.faa.gz
3093;158783;Tessaracoccus aquimaris NSG39;tessaracoccusaquimarisnsg39;Tessaracoccus;tessaracoccus;Tessaracoccus aquimaris;tessaracoccusaquimaris;NSG39;KACC 17540|JCM 19289;yes;;;aerobic;2-deoxyadenosine|acetate|alpha-D-glucose|amygdalin|arabinose|arbutin|cellobiose|D-arabinose|D-arabitol|dextrin|D-fructose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-xylose|esculin ferric citrate|galactitol|gentiobiose|gluconate|glucose|glycerol|glycogen|inosine|lactose|L-arabinose|L-fucose|L-rhamnose|L-sorbose|maltose|maltotriose|mannitol|mannose|melibiose|methyl alpha-D-galactoside|myo-inositol|N-acetylglucosamine|nitrate|potassium gluconate|raffinose|salicin|starch|sucrose|thymidine|trehalose|turanose|uridine;GCA_001997345|CP019606|1332264.3;GCA_001997345;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/997/345/GCA_001997345.1_ASM199734v1/GCA_001997345.1_ASM199734v1_protein.faa.gz
